MSISDN,AON,Churn Flag,Avg_Inactive_Days in last 1 month,Current_Balance in INR,Data Days Latest week,Calling Days Latestweek,Recharge Amount Latest Week,Avg_OG_Local_Offnet_Cnt,Avg_OG_Local_Offnet_Cnt,Roaming User,Avergae Complaints Count Last 4 weeks
7610120456,6-12 months,1,4.18,20,1,1,44,13,5,0,3
7611120467,12-18 months,0,16,18,2,3,18,7,14,1,1
9711120467,>18 months,0,18,8,4,2,98,12,12,0,0
9830022336,3-6 months,0,18,8,3,2,86,3,12,0,2
9713246555,>18 months,0,6,44,6,3,36,11,4,0,2
7913951982,6-12 months,1,25,70,5,1,80,15,9,1,3
8905056400,12-18 months,0,6,12,1,5,52,12,20,0,2
9712238774,>18 months,0,25,94,3,3,22,13,15,1,1
9614527218,3-6 months,0,7,56,4,2,81,16,5,0,1
7877584642,>18 months,0,23,13,4,7,11,8,17,1,2
8506591532,6-12 months,1,18,45,4,2,22,16,15,0,3
9191175947,12-18 months,0,10,5,4,4,62,14,17,1,2
7787515166,>18 months,0,5,34,6,6,33,12,12,0,2
9632739769,3-6 months,0,19,48,5,3,52,16,6,1,2
9571565450,>18 months,0,20,40,6,5,94,15,18,1,1
8734436900,6-12 months,0,18,51,2,6,93,5,11,0,3
8173121191,12-18 months,0,10,5,5,5,37,9,12,1,0
9062466717,>18 months,0,4,47,6,3,53,3,3,1,1
9642062120,3-6 months,0,9,46,4,3,35,11,4,0,1
9850727559,>18 months,0,11,19,1,5,54,7,13,0,3
9859115601,6-12 months,0,17,58,5,6,87,6,15,0,3
8760162138,12-18 months,0,16,23,2,2,76,6,10,1,0
9338498463,>18 months,0,13,9,3,3,56,5,3,1,2
8595286214,3-6 months,0,6,5,6,6,80,13,20,1,2
9306262042,>18 months,0,14,56,6,5,83,11,14,1,1
9844566155,6-12 months,0,6,40,3,5,89,14,4,1,0
7854875122,12-18 months,0,6,21,7,4,67,9,6,1,1
8370567593,>18 months,0,25,35,6,7,92,16,16,1,0
8528649538,3-6 months,0,15,22,6,5,12,5,7,0,3
9547470084,>18 months,0,14,23,1,3,32,4,4,0,3
9124337877,6-12 months,0,7,2,7,3,15,16,17,0,0
8703199118,12-18 months,0,11,18,7,7,88,8,19,0,0
9235976384,>18 months,0,4,48,5,3,52,7,12,0,1
9973515275,3-6 months,0,13,33,3,5,67,4,5,0,3
9894041262,>18 months,0,19,57,3,4,28,16,4,1,1
9993631000,6-12 months,0,23,24,2,3,26,5,16,1,0
8027966288,12-18 months,0,11,42,7,3,98,4,16,1,2
9733503818,>18 months,0,7,20,7,5,97,10,12,1,1
9505164218,3-6 months,0,22,36,6,7,15,7,18,1,3
9956427716,>18 months,0,25,29,7,6,45,6,16,1,1
9004515109,6-12 months,0,11,25,6,2,52,12,15,1,1
8196558798,12-18 months,0,20,59,4,7,88,7,11,1,3
8860338785,>18 months,0,6,22,7,7,24,7,4,1,1
